A long time ago, there lived a king who had only one eye and one leg	Dahulu kala, hidup seorang raja yang hanya memiliki satu mata dan satu kaki
One day, as the king strolled through the royal gallery he saw the paintings of his predecessors	Suatu hari, saat raja berjalan-jalan di galeri kerajaan ia melihat lukisan-lukisan pendahulunya
The king then summoned all the painters in his country to the palace	Raja lalu memanggil semua pelukis yang ada di negerinya ke istana
He asked for a beautiful painting and looked dashing to be displayed in the palace gallery	Ia meminta untuk dibuatkan lukisan yang indah dan terlihat gagah untuk dipajang di galeri istana
Painters who dare to accept this task will be rewarded according to the beauty of the painting	Pelukis yang berani menerima tugas ini akan diberi imbalan sesuai dengan keindahan lukisannya
The painters began to think after hearing the king's command, they thought it was impossible to make a beautiful painting	Para pelukis mulai berpikir setelah mendengar titah raja, menurut mereka tidak mungkin bisa membuat lukisan yang indah
The painters resigned one by one for various reasons	Pelukis-pelukis itu pun satu per satu mengundurkan diri dengan berbagai alasan
They fear that if the result is bad, they will be punished for insulting the king.	Mereka takut jika nanti hasilnya buruk, mereka malah diberi hukuman karena dianggap menghina raja
Then, one of the painters volunteered to paint the deformed king	Lalu, salah seorang pelukis mengajukan diri untuk melukis raja yang cacat tersebut
For weeks the painter worked on the painting the king had asked for	Berminggu-minggu si pelukis mengerjakan lukisan yang diminta raja
Until finally came the day when the painting was exhibited to the public	Sampai akhirnya tiba hari saat lukisan itu dipamerkan kepada publik
The painters who resigned came to the palace, they saw the beautiful painting	Para pelukis yang mengundurkan diri datang ke istana, mereka melihat lukisan indah itu
The painters' assumptions disappeared immediately when the cover cloth of the painting was opened	Anggapan para pelukis itu langsung sirna ketika kain penutup lukisan itu dibuka
Because, the result of the painting is very beautiful and the king looks dashing	Sebab, hasil lukisan itu sangatlah indah dan sang raja terlihat gagah
In the painting the king is pictured riding a horse facing sideways	Di lukisan raja digambarkan sedang menunggangi kuda yang menghadap ke samping
While preparing to shoot. So that his deformed legs are invisible	Sambil bersiap memanah. Sehingga kakinya yang cacat tidak terlihat
The king was very satisfied with the painting, he earned a castle for the painter	Raja sangat puas dengan hasil lukisan tersebut, ia menghadiahi sebuah kastil untuk si pelukis
Recently, Steve had a car accident. Because the car has to be repaired in the workshop	Baru-baru ini, Steve mengalami kecelakaan mobil. Karena mobilnya harus diperbaiki di bengkel
He gave a little money to the old beggar.	Ia memberikan sedikit uang pada pengemis tua itu
The next day he found the beggar again. This time, Steve took the beggar to lunch together	Keesokan harinya ia menemukan pengemis itu lagi. Kali ini, Steve mengajak pengemis itu untuk makan siang bersama
It's just that I'm sad when the people I helped used to won't help me.	Hanya saja aku sedih ketika orang-orang yang kubantu dulu tidak mau membantuku
It's better to invite troubled people to your home, than to share bricks when you build your own house	Lebih baik mengundang orang kesusahan ke rumahmu, daripada membagikan bata saat kamu membangun rumahmu sendiri
Once Sidharta Gautama traveled to visit several cities with his students	Suatu ketika Sidharta Gautama melakukan perjalanan mengunjungi beberapa kota bersama muridnya
Shortly before entering the first city, he rested under a shady tree	Sesaat sebelum memasuki kota pertama, ia beristirahat di bawah sebuah pohon yang rindang
Around where they rested, there was a small lake	Di sekitar tempat mereka beristirahat itu, ada sebuah danau kecil
Sidharta Gautama then asked his students to take water to drink from the lake	Sidharta Gautama kemudian meminta muridnya mengambil air untuk minum dari danau tersebut
At that time in the lake there were many people who washed their clothes while playing in the water	Saat itu di danau sedang banyak warga yang mencuci pakaian sambil bermain di air
When the student returned to the lake, no one had washed their clothes	Ketika si murid kembali ke danau, sudah tidak ada orang yang mencuci pakaian
The lake water is clear because the dirt has settled to the bottom of the lake	Air danau pun sudah jernih karena kotorannya telah mengendap ke dasar danau
The student took the water and delivered it to his teacher	Si murid itu pun mengambil air dan mengantarkannya pada gurunya
